method,mean_accuracy,min_accuracy,max_accuracy,n_seeds,accuracy_seed_1,accuracy_seed_3,accuracy_seed_5,accuracy_seed_66,accuracy_seed_789,accuracy_seed_1145,accuracy_seed_2835396,accuracy_seed_18695,accuracy_seed_7723,accuracy_seed_114399,accuracy_seed_200,accuracy_seed_987654,accuracy_seed_2026,accuracy_seed_2027,accuracy_seed_2028,order_seed_1,order_seed_3,order_seed_5,order_seed_66,order_seed_789,order_seed_1145,order_seed_2835396,order_seed_18695,order_seed_7723,order_seed_114399,order_seed_200,order_seed_987654,order_seed_2026,order_seed_2027,order_seed_2028
spec_fusion_spec649_ridge_a5_0.08,0.7170108161258604,0.6755162241887905,0.7610619469026548,15,0.7345132743362832,0.7168141592920354,0.7433628318584071,0.7109144542772862,0.6755162241887905,0.7610619469026548,0.7315634218289085,0.7079646017699115,0.696165191740413,0.6991150442477876,0.7138643067846607,0.7168141592920354,0.7256637168141593,0.7345132743362832,0.6873156342182891,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
spec_fusion_spec649_log_c08_0.12,0.7168141592920354,0.6784660766961652,0.7728613569321534,15,0.7345132743362832,0.7197640117994101,0.7404129793510325,0.7079646017699115,0.6784660766961652,0.7728613569321534,0.7286135693215339,0.7079646017699115,0.6902654867256637,0.6991150442477876,0.7109144542772862,0.7197640117994101,0.7286135693215339,0.7197640117994101,0.6932153392330384,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
spec_fusion_spec649_ridge_a5_0.05,0.7168141592920354,0.672566371681416,0.7610619469026548,15,0.7374631268436578,0.7227138643067846,0.7374631268436578,0.7109144542772862,0.672566371681416,0.7610619469026548,0.7315634218289085,0.6991150442477876,0.6991150442477876,0.6991150442477876,0.7197640117994101,0.7109144542772862,0.7256637168141593,0.7315634218289085,0.6932153392330384,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
spec_fusion_spec649_log_c04_0.28,0.7166175024582105,0.672566371681416,0.7551622418879056,15,0.7315634218289085,0.7345132743362832,0.7463126843657817,0.6991150442477876,0.672566371681416,0.7551622418879056,0.7374631268436578,0.7109144542772862,0.6873156342182891,0.6902654867256637,0.7020648967551623,0.7227138643067846,0.7227138643067846,0.7315634218289085,0.7050147492625368,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
spec_fusion_spec649_log_c08_0.03,0.7166175024582105,0.672566371681416,0.7669616519174042,15,0.7315634218289085,0.7227138643067846,0.7433628318584071,0.7079646017699115,0.672566371681416,0.7669616519174042,0.7286135693215339,0.7050147492625368,0.6991150442477876,0.7020648967551623,0.7138643067846607,0.7109144542772862,0.7256637168141593,0.7345132743362832,0.6843657817109144,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
spec_fusion_spec649_svc_c08_0.12,0.7166175024582103,0.6696165191740413,0.7610619469026548,15,0.7404129793510325,0.7138643067846607,0.7404129793510325,0.7138643067846607,0.6696165191740413,0.7610619469026548,0.7345132743362832,0.7079646017699115,0.696165191740413,0.7050147492625368,0.7138643067846607,0.7079646017699115,0.7256637168141593,0.7286135693215339,0.6902654867256637,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
spec_fusion_spec649_ridge_a5_0.03,0.7162241887905604,0.672566371681416,0.7610619469026548,15,0.7374631268436578,0.7197640117994101,0.7374631268436578,0.7109144542772862,0.672566371681416,0.7610619469026548,0.7315634218289085,0.7050147492625368,0.696165191740413,0.6991150442477876,0.7197640117994101,0.7079646017699115,0.7256637168141593,0.7345132743362832,0.6843657817109144,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
spec_fusion_spec649_log_c08_0.05,0.7160275319567354,0.672566371681416,0.7669616519174042,15,0.7315634218289085,0.7227138643067846,0.7404129793510325,0.7050147492625368,0.672566371681416,0.7669616519174042,0.7286135693215339,0.7079646017699115,0.696165191740413,0.696165191740413,0.7138643067846607,0.7109144542772862,0.7256637168141593,0.7345132743362832,0.6873156342182891,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
spec_fusion_spec649_log_c04_0.05,0.7158308751229107,0.672566371681416,0.7640117994100295,15,0.7315634218289085,0.7227138643067846,0.7404129793510325,0.7050147492625368,0.672566371681416,0.7640117994100295,0.7286135693215339,0.7079646017699115,0.696165191740413,0.696165191740413,0.7138643067846607,0.7109144542772862,0.7256637168141593,0.7315634218289085,0.6902654867256637,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
spec_fusion_spec649_svc_c08_0.08,0.7158308751229104,0.6696165191740413,0.7610619469026548,15,0.7374631268436578,0.7138643067846607,0.7404129793510325,0.7109144542772862,0.6696165191740413,0.7610619469026548,0.7345132743362832,0.7020648967551623,0.696165191740413,0.7050147492625368,0.7168141592920354,0.7079646017699115,0.7256637168141593,0.7315634218289085,0.6843657817109144,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
